Financial Year,URN,Identifier,Recipient Org:Name,Title,Amount Awarded,Award Date,Currency,Grant Programme:Title,Main_Sport,Region,Local_Authority,Parliamentary_Constituency,Organisation Type,Funding Org:Identifier,Funding Org:Name,Data source,Last modified
2010/2011,2010011717,360G-ACW-2010011717,University of Northumbria,Team Northumbria- Women's Rugby in the Community,9000,2010-11-13,GBP,Sportsmatch,Rugby Union,North East,Newcastle upon Tyne,Newcastle upon Tyne East,Institute of higher education (including universities),GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2010012012,360G-ACW-2010012012,Tameside MBC,Greatsports Year 2,15000,2010-11-13,GBP,Sportsmatch,Multi Sports,North West,Tameside,Stalybridge and Hyde,Local Authority,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2010012072,360G-ACW-2010012072,University Of Bath,High Performance S&C Facility,80000,2010-11-17,GBP,English Institute of Sport,Multi Sports,South West,Bath and North East Somerset,Bath,Institute of higher education (including universities),GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2010012072,360G-ACW-2010012072,University Of Bath,High Performance S&C Facility,13800,2011-03-24,GBP,English Institute of Sport,Multi Sports,South West,Bath and North East Somerset,Bath,Institute of higher education (including universities),GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2010012139,360G-ACW-2010012139,Lymm Angling Club,Lymm Angling Club Academy,1000,2010-11-13,GBP,Sportsmatch,Angling,North West,Cheshire West and Chester,Weaver Vale,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2010012185,360G-ACW-2010012185,Purley Cricket Club,Ladies Cricket Section Development Plan Year 2,2232,2010-11-13,GBP,Sportsmatch,Cricket,London,Sutton,Carshalton and Wallington,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2010012797,360G-ACW-2010012797,British Gliding Association,Club Governance Project 2010-11,5964,2010-11-12,GBP,National Programme,Gliding,East Midlands,Blaby,South Leicestershire,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2010012802,360G-ACW-2010012802,British Kite Surfing Association,Market Research and production of BKSA plan 2010-11,22648,2010-11-12,GBP,National Programme,Kite Surfing,West Midlands,Solihull,Meriden,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2010012804,360G-ACW-2010012804,British Roller Sports Federation,Revision of BRSF Governance Structure 2010-11,17581,2010-11-19,GBP,National Programme,Roller Skating,East of England,Suffolk Coastal,Suffolk Coastal,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2010012805,360G-ACW-2010012805,British Sub Aqua Club,Dive Leaders Training 2010-11,15000,2010-11-12,GBP,National Programme,Sub Aqua,North West,Cheshire West and Chester,Ellesmere Port and Neston,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2010012827,360G-ACW-2010012827,Surf Life Saving GB,Pool Module Project 2010-11,15726,2010-11-12,GBP,National Programme,Surf Life Saving,South West,Exeter,Exeter,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2010013158,360G-ACW-2010013158,Lee Valley Regional Park Authority,Upgrade of facilities at LVAC,342500,2011-02-23,GBP,English Institute of Sport,Multi Sports,London,Enfield,Edmonton,Local Authority,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2010015016,360G-ACW-2010015016,Sports Tae Kwon Do UK Ltd,National Centre Development,40779,2011-02-23,GBP,English Institute of Sport,Taekwondo,North West,Manchester,Manchester Central,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2010015047,360G-ACW-2010015047,Manchester Sport & Leisure Trust,EIS Gym Extension,82980,2011-02-23,GBP,English Institute of Sport,Taekwondo,North West,Manchester,Manchester Central,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2011000049,360G-ACW-2011000049,Surfing NGB Limited,Establishing Surfing GB,15010,2011-02-11,GBP,National Programme,Surfing,South West,Cornwall,St Austell and Newquay,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2011001886,360G-ACW-2011001886,Sheffield International Venues,Diving Platforms Extensions,58283,2011-02-23,GBP,English Institute of Sport,Swimming & Diving,Yorkshire and The Humber,Sheffield,Sheffield Central,Private sector company or business,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2011003271,360G-ACW-2011003271,ASA,Energy Efficiency in Swimming Pools,50000,2011-03-24,GBP,National Programme,Swimming & Diving,East Midlands,Charnwood,Loughborough,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2010/2011,2011003392,360G-ACW-2011003392,University Of Bath,Storage Unit,20992,2011-03-24,GBP,English Institute of Sport,Bobsleigh,South West,Bath and North East Somerset,Bath,Institute of higher education (including universities),GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20050753,360G-ACW-20050753,Sport and Recreation Alliance,Core funding 2005 onwards,736860,2011-04-08,GBP,Funded Partners,Sports Development,London,Westminster,Cities of London and Westminster,Other,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20050753,360G-ACW-20050753,Sport and Recreation Alliance,Core funding 2005 onwards,368430,2011-09-09,GBP,Funded Partners,Sports Development,London,Westminster,Cities of London and Westminster,Other,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20050753,360G-ACW-20050753,Sport and Recreation Alliance,Core funding 2005 onwards,408258,2011-12-07,GBP,Funded Partners,Sports Development,London,Westminster,Cities of London and Westminster,Other,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20087011,360G-ACW-20087011,Salford City Council,Broughton Pool - Modernisation,6465,2011-10-30,GBP,Free Swimming,Swimming & Diving,North West,Salford,Blackley and Broughton,Local Authority,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20087940,360G-ACW-20087940,Angling Development Board,NGB Funding 2009-13,32890,2011-04-07,GBP,Whole Sport Plan,Angling,East Midlands,East Northamptonshire,Corby,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20087946,360G-ACW-20087946,Archery GB,NGB Funding 2009-13,43611,2011-04-08,GBP,Whole Sport Plan,Archery,West Midlands,Shropshire,The Wrekin,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20087947,360G-ACW-20087947,UK Athletics,NGB Funding 2009-13,1576791,2011-04-07,GBP,Whole Sport Plan,Athletics,West Midlands,Solihull,Meriden,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20087949,360G-ACW-20087949,BADMINTON England,NGB Funding 2009-13,2141139,2011-04-07,GBP,Whole Sport Plan,Badminton,South East,Milton Keynes,Milton Keynes South,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20087950,360G-ACW-20087950,Baseball/Softball UK,NGB Funding 2009-13,243972,2011-04-08,GBP,Whole Sport Plan,Baseball / Softball,London,Camden,Holborn and St Pancras,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20087951,360G-ACW-20087951,England Basketball,NGB Funding 2009-13,625508,2011-05-11,GBP,Whole Sport Plan,Basketball,Yorkshire and The Humber,Sheffield,Sheffield South East,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20087952,360G-ACW-20087952,C P Sport,NGB Funding 2009-13,90695,2011-04-07,GBP,Whole Sport Plan,Disability Sports,East Midlands,Nottingham,Nottingham South,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20087955,360G-ACW-20087955,English Indoor Bowling Association,NGB Funding 2009-13,19502,2011-05-11,GBP,Whole Sport Plan,Bowls,East Midlands,Melton,Rutland and Melton,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20087956,360G-ACW-20087956,AMATEUR BOXING ASSOCIATION OF ENGLAND,NGB Funding 2009-13,550181,2011-04-07,GBP,Whole Sport Plan,Boxing,Yorkshire and The Humber,Sheffield,Sheffield South East,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20087962,360G-ACW-20087962,British Canoe Union,NGB Funding 2009-13,685204,2011-04-07,GBP,Whole Sport Plan,Canoeing,East Midlands,Rushcliffe,Newark,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20087962,360G-ACW-20087962,British Canoe Union,NGB Funding 2009-13,21350,2011-12-06,GBP,School Games,Canoeing,East Midlands,Rushcliffe,Newark,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20087962,360G-ACW-20087962,British Canoe Union,NGB Funding 2009-13,197250,2012-02-28,GBP,Whole Sport Plan,Canoeing,East Midlands,Rushcliffe,Newark,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20087963,360G-ACW-20087963,England and Wales Cricket Board,NGB Funding 2009-13,8362878,2011-04-07,GBP,Whole Sport Plan,Cricket,London,Westminster,Westminster North,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20087963,360G-ACW-20087963,England and Wales Cricket Board,NGB Funding 2009-13,49780,2011-12-06,GBP,School Games,Cricket,London,Westminster,Westminster North,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,20087963,360G-ACW-20087963,England and Wales Cricket Board,NGB Funding 2009-13,40220,2012-02-28,GBP,Whole Sport Plan,Cricket,London,Westminster,Westminster North,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
